courses,createdAt,email,entryYear,gradeLevel,id,name,phone,schoolId,totalScore,type,updatedAt
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS058797"", ""CRS652689"", ""CRS583398""]",2025-09-24T16:49:39.732143,patmh323@student.avrt.edu,2023,9,925707456,פאטמה גולדשטיין,(725)884-6065x786,SCH329076,67.8,student,2025-09-24T16:49:39.737721
"[""CRS430230"", ""CRS446141"", ""CRS652689"", ""CRS583398"", ""CRS261592"", ""CRS831057""]",2025-09-24T16:49:39.732143,tl802@student.avrt.edu,2021,11,585222042,טל לוי,001-236-788-0408x103,SCH329076,60.6,student,2025-09-24T16:49:39.738750
"[""CRS430230"", ""CRS446141"", ""CRS058797"", ""CRS652689"", ""CRS583398"", ""CRS831057""]",2025-09-24T16:49:39.732143,rchl728@student.avrt.edu,2020,12,657051563,רחל כהן,863-422-4628,SCH329076,87.7,student,2025-09-24T16:49:39.739915
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS831057"", ""CRS058797"", ""CRS652689"", ""CRS583398""]",2025-09-24T16:49:39.732143,rbkh914@student.avrt.edu,2021,11,196116423,רבקה לוי,552.262.6119x5761,SCH329076,71.5,student,2025-09-24T16:49:39.740966
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS058797"", ""CRS652689"", ""CRS583398"", ""CRS261592""]",2025-09-24T16:49:39.732143,abybh369@student.avrt.edu,2023,9,952572162,אביבה כהן,880.870.9317,SCH329076,85.7,student,2025-09-24T16:49:39.742111
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS058797"", ""CRS652689"", ""CRS583398"", ""CRS831057""]",2025-09-24T16:49:39.732143,lah62@student.avrt.edu,2022,10,851780651,לאה לוי,+1-685-376-3688x1464,SCH329076,60.6,student,2025-09-24T16:49:39.744113
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS652689"", ""CRS583398"", ""CRS261592"", ""CRS058797""]",2025-09-24T16:49:39.732143,lyavr913@student.avrt.edu,2023,9,480270549,ליאור לוי,001-709-464-8636,SCH329076,74.9,student,2025-09-24T16:49:39.744113
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS831057"", ""CRS058797"", ""CRS652689"", ""CRS583398""]",2025-09-24T16:49:39.732143,dvd522@student.avrt.edu,2020,12,288594507,דוד רוזנברג,001-788-683-3426,SCH329076,54.7,student,2025-09-24T16:49:39.746110
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS058797"", ""CRS652689"", ""CRS583398"", ""CRS261592""]",2025-09-24T16:49:39.732143,namh852@student.avrt.edu,2023,9,300007546,נעמה כהן,(505)309-5229x15892,SCH329076,80.5,student,2025-09-24T16:49:39.748110
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS652689"", ""CRS583398"", ""CRS261592"", ""CRS058797""]",2025-09-24T16:49:39.732143,gly506@student.avrt.edu,2023,9,883973174,גלי בראון,+1-241-992-1473,SCH329076,71.1,student,2025-09-24T16:49:39.748596
"[""CRS430230"", ""CRS446141"", ""CRS652689"", ""CRS583398"", ""CRS831057""]",2025-09-24T16:49:39.732143,shrh340@student.avrt.edu,2023,9,688424306,שרה אלכסנדר,769.996.1843,SCH329076,79.9,student,2025-09-24T16:49:39.749595
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS831057"", ""CRS652689"", ""CRS583398"", ""CRS058797""]",2025-09-24T16:49:39.732143,alvn978@student.avrt.edu,2022,10,640614970,אלון שמעון,430-864-5220x84460,SCH329076,62.2,student,2025-09-24T16:49:39.751594
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS058797"", ""CRS652689"", ""CRS583398"", ""CRS261592""]",2025-09-24T16:49:39.732143,tmr757@student.avrt.edu,2021,11,744847730,תמר כהן,402.660.1078,SCH329076,81.8,student,2025-09-24T16:49:39.752594
"[""CRS430230"", ""CRS446141"", ""CRS652689"", ""CRS583398"", ""CRS261592"", ""CRS831057"", ""CRS058797""]",2025-09-24T16:49:39.732143,aryal39@student.avrt.edu,2022,10,646671872,אריאל עזרא,549.988.9361x0458,SCH329076,80.1,student,2025-09-24T16:49:39.753594
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS652689"", ""CRS583398"", ""CRS261592"", ""CRS058797""]",2025-09-24T16:49:39.732143,gyl425@student.avrt.edu,2020,12,341741570,גיל גולדשטיין,(782)779-3595x9166,SCH329076,64.7,student,2025-09-24T16:49:39.755657
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS831057"", ""CRS652689"", ""CRS583398""]",2025-09-24T16:49:39.732143,namh874@student.avrt.edu,2020,12,937462007,נעמה פרידמן,400-798-4056x918,SCH329076,74.9,student,2025-09-24T16:49:39.756979
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS058797"", ""CRS652689"", ""CRS583398"", ""CRS261592""]",2025-09-24T16:49:39.732143,hdr848@student.avrt.edu,2023,9,435708217,הדר יעקב,943-315-0812,SCH329076,84.8,student,2025-09-24T16:49:39.757979
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS831057"", ""CRS652689"", ""CRS583398"", ""CRS058797""]",2025-09-24T16:49:39.732143,rvnyt295@student.avrt.edu,2023,9,292740070,רונית עמר,001-788-423-4088x266,SCH329076,88.1,student,2025-09-24T16:49:39.759978
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS058797"", ""CRS652689"", ""CRS583398"", ""CRS831057""]",2025-09-24T16:49:39.732143,nvah906@student.avrt.edu,2020,12,436217355,נועה נחמן,947-760-6941,SCH329076,72.5,student,2025-09-24T16:49:39.760978
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS652689"", ""CRS583398"", ""CRS261592""]",2025-09-24T16:49:39.732143,arbl878@student.avrt.edu,2022,10,394292571,ארבל אשכנזי,575.905.3073x8111,SCH329076,71.5,student,2025-09-24T16:49:39.762473
"[""CRS430230"", ""CRS446141"", ""CRS261592"", ""CRS831057"", ""CRS652689"", ""CRS583398""]",2025-09-24T16:49:39.732143,gly292@student.avrt.edu,2021,11,798363750,גלי כהן,001-380-270-3351x5026,SCH329076,79.7,student,2025-09-24T16:49:39.763940
"[""CRS430230"", ""CRS446141"", ""CRS652689"", ""CRS583398"", ""CRS261592"", ""CRS831057"", ""CRS058797""]",2025-09-24T16:49:39.732143,lyh960@student.avrt.edu,2023,9,819504483,ליה ישראלי,001-536-350-3073,SCH329076,67.0,student,2025-09-24T16:49:39.764943
"[""CRS430230"", ""CRS446141"", ""CRS831057"", ""CRS583398"", ""CRS058797"", ""CRS652689""]",2025-09-24T16:49:39.732143,yal443@student.avrt.edu,2021,11,468713922,יעל נחמן,946-988-7853x45493,SCH329076,73.6,student,2025-09-24T16:49:39.764943
